,drug_1,drug_2,cell,label
0,6505803,104794,ACH-000579,1
1,2733525,148121,ACH-000966,0
2,123631,68740,ACH-000288,0
3,9854073,126941,ACH-000997,0
4,38904,5329102,ACH-001039,1
5,208908,148121,ACH-000651,0
6,3062316,2187,ACH-001208,1
7,25136944,3657,ACH-000969,0
8,126565,104794,ACH-000788,0
9,2662,5746,ACH-000090,0
10,24776445,1361334,ACH-000644,0
11,36314,104741,ACH-002195,0
12,443939,4114,ACH-000900,0
13,216239,57469,ACH-000730,1
14,11364421,5278396,ACH-000810,0
15,123608,2907,ACH-000425,0
16,5311,3062316,ACH-000311,0
17,3367,6445540,ACH-000376,0
18,71384,4211,ACH-000681,1
19,176870,16124726,ACH-000425,0
20,5394,9950176,ACH-000750,0
21,3081361,23615975,ACH-001198,0
22,5388983,5311,ACH-000090,0
23,208908,5388983,ACH-000861,1
24,46781465,123608,ACH-002172,0
25,2187,6239,ACH-000979,1
26,216239,4248455,ACH-000644,1
27,354624,36314,ACH-000046,0
28,5311,4211,ACH-000681,0
29,10113978,24748573,ACH-000750,0
30,123631,2733526,ACH-000019,1
31,176870,5312137,ACH-000987,1
32,2708,5935,ACH-000367,0
33,2662,104842,ACH-000504,1
34,354624,387447,ACH-000147,1
35,10027278,300471,ACH-000348,1
36,3385,57469,ACH-000696,0
37,10027278,1401,ACH-000915,1
38,2187,24197464,ACH-000615,0
39,5453,148121,ACH-000811,0
40,5329102,300471,ACH-001002,1
41,3385,68740,ACH-000428,0
42,60198,443939,ACH-000900,1
43,25136944,5426,ACH-000504,1
44,36314,148124,ACH-001198,0
45,6505803,11364421,ACH-000730,1
46,5291,5935,ACH-000817,0
47,6505803,17754438,ACH-000579,1
48,10113978,16038120,ACH-000572,0
49,148124,135418940,ACH-000450,0
50,25136944,23615975,ACH-000504,0
51,38904,57469,ACH-000811,0
52,24785538,9826528,ACH-001205,1
53,36462,24197464,ACH-000750,0
54,38904,216239,ACH-002195,0
55,36314,2478,ACH-000463,0
56,3385,104842,ACH-000376,0
57,126565,16124726,ACH-000810,0
58,6194,2733525,ACH-001738,1
59,249332,5394,ACH-000811,0
60,10127622,25022668,ACH-000915,0
61,73013358,3062316,ACH-000915,1
62,6194,1546,ACH-000463,0
63,23615975,42890,ACH-000376,0
64,6239,4114,ACH-000900,0
65,68740,5426,ACH-001151,0
66,2662,5329102,ACH-000706,0
67,6194,5311,ACH-002199,1
68,3367,104842,ACH-001151,0
69,2708,3902,ACH-000696,0
70,25136944,2708,ACH-000696,0
71,135398738,5329102,ACH-000147,0
72,6194,3902,ACH-002199,0
73,135401907,6445540,ACH-000971,1
74,135440466,11524144,ACH-000615,0
75,36462,2708,ACH-000367,0
76,71384,3367,ACH-000768,0
77,5291,5329102,ACH-000090,0
78,454216,77082,ACH-000849,1
79,36462,5291,ACH-000477,0
80,71384,46781465,ACH-001127,0
81,5453,400633,ACH-000849,0
82,400633,5329102,ACH-001081,1
83,6194,5329102,ACH-000288,0
84,3218,1361334,ACH-000572,1
85,68740,2141,ACH-000706,1
86,9854073,2123,ACH-000768,1
87,3081361,148121,ACH-000090,0
88,135401907,2907,ACH-002199,0
89,10127622,521106,ACH-000788,0
90,126565,159324,ACH-000614,0
91,5035,9703,ACH-000367,0
92,249332,24197464,ACH-000477,1
93,36314,3657,ACH-000090,1
94,11656518,5312137,ACH-002143,0
95,148124,387447,ACH-000900,0
96,2723601,400633,ACH-000376,1
97,62770,5329102,ACH-000273,0
98,5329102,5388983,ACH-000651,1
99,2747117,176167,ACH-000348,0
100,176870,104794,ACH-000987,1
101,60198,42890,ACH-000817,1
102,2733525,42890,ACH-000615,1
103,9854073,148124,ACH-001081,0
104,3062316,521106,ACH-000425,1
105,208908,123608,ACH-002199,0
106,25136944,148124,ACH-000019,1
107,135401907,5426,ACH-000147,0
108,4211,104741,ACH-000997,0
109,126941,57469,ACH-000555,0
110,2733525,163659,ACH-000148,1
111,249332,2187,ACH-000617,0
112,60198,123608,ACH-000463,0
113,16659841,24856436,ACH-000783,1
114,60198,24197464,ACH-000019,0
115,24776445,6445540,ACH-000900,0
116,2123,2662,ACH-000681,0
117,123631,5394,ACH-000019,0
118,1401,16124726,ACH-000425,0
119,5394,68740,ACH-000817,0
120,23725625,135330301,ACH-000019,1
121,151194,16736978,ACH-002143,0
122,159324,9943465,ACH-001002,0
123,46781465,68740,ACH-000861,0
124,2123,5284616,ACH-001151,0
125,163659,2907,ACH-000696,1
126,400633,208908,ACH-002159,0
127,657237,24856436,ACH-000915,1
128,104842,2187,ACH-000555,0
129,387447,5702198,ACH-000968,0
130,23725625,387447,ACH-000097,1
131,5291,46781465,ACH-000046,0
132,387447,42890,ACH-001198,0
133,5388983,5935,ACH-001127,1
134,6914657,4248455,ACH-001002,1
135,73013358,11977753,ACH-000788,1
136,6914657,9943465,ACH-000008,0
137,77082,387447,ACH-001738,1
138,71384,3385,ACH-000979,0
139,3367,5426,ACH-000768,0
140,10184653,86661883,ACH-000111,1
141,3081361,23615975,ACH-000979,0
142,42623900,25021165,ACH-000008,0
143,3902,5935,ACH-001738,0
144,24776445,5746,ACH-000552,0
145,2123,38904,ACH-000019,0
146,46781465,3062316,ACH-000825,1
147,6252,3062316,ACH-000730,0
148,36462,4829,ACH-000615,0
149,443939,2123,ACH-000463,1
150,1546,5426,ACH-002199,0
151,451668,9943465,ACH-000788,0
152,5291,454216,ACH-000997,1
153,135398738,126941,ACH-000428,0
154,6194,123608,ACH-000861,0
155,2123,135401907,ACH-001190,0
156,6194,354624,ACH-000706,1
157,24776445,5278396,ACH-000750,0
158,25022668,16124726,ACH-000730,1
159,5799,2141,ACH-000046,1
160,132971,2141,ACH-001151,0
161,5330286,1401,ACH-002143,0
162,73265272,11640390,ACH-001685,0
163,9927978,5453,ACH-000849,0
164,123631,60198,ACH-001151,0
165,5394,5312137,ACH-000788,1
166,10127622,176167,ACH-000304,0
167,104842,77082,ACH-000552,1
168,5388983,2907,ACH-000825,0
169,16736978,3218,ACH-000968,0
170,443939,9927978,ACH-001039,1
171,2662,5311,ACH-000425,1
172,126941,5426,ACH-002172,1
173,148121,135401907,ACH-000750,0
174,3385,2907,ACH-000861,0
175,5329102,387447,ACH-000968,0
176,1546,454216,ACH-002195,0
177,123631,2141,ACH-001738,0
178,249332,5311,ACH-000147,0
179,5790,46781465,ACH-002195,1
180,24776445,163659,ACH-000428,1
181,3657,46781465,ACH-000655,0
182,36462,216239,ACH-001738,1
183,5494449,11598628,ACH-000052,1
184,5426,2907,ACH-000555,1
185,132971,3081361,ACH-000019,1
186,5035,5388983,ACH-001081,1
187,216345,1361334,ACH-000579,0
188,2733525,5329102,ACH-000849,0
189,208908,2141,ACH-000343,0
190,5284616,5311,ACH-000681,0
191,176167,16736978,ACH-001002,0
192,16124726,9943465,ACH-000425,1
193,249332,454216,ACH-000651,0
194,11213558,16124726,ACH-000810,1
195,62770,24197464,ACH-002195,0
196,62770,6252,ACH-000696,0
197,1546,104741,ACH-000849,0
198,2187,57469,ACH-000477,0
199,25136944,3062316,ACH-000615,1
200,36462,6445540,ACH-000551,0
201,62770,3385,ACH-000997,0
202,5494449,135418940,ACH-000572,1
203,24748573,5330286,ACH-000644,0
204,6914657,5394,ACH-000425,0
205,10127622,17754438,ACH-000304,0
206,400633,24197464,ACH-000376,0
207,46930998,5311,ACH-000750,0
208,25022668,11630874,ACH-000968,0
209,443939,9703,ACH-000969,1
210,5394,23615975,ACH-000552,1
211,1401,11524144,ACH-000615,0
212,24776445,9854073,ACH-000997,1
213,25136944,400633,ACH-000706,1
214,132971,104842,ACH-001127,1
215,443939,5035,ACH-001190,0
216,11977753,56972185,ACH-000219,1
217,16736529,24199313,ACH-001205,1
218,163659,2907,ACH-000811,1
219,9950176,4248455,ACH-000750,0
220,148121,2907,ACH-001738,0
221,400633,148121,ACH-000651,0
222,104741,2141,ACH-000615,0
223,5329102,2141,ACH-000971,0
224,5329102,2141,ACH-000969,0
225,216345,5330286,ACH-002152,1
226,25136944,5453,ACH-000817,0
227,135401907,6239,ACH-002199,0
228,9854073,148121,ACH-001198,1
229,5329102,5388983,ACH-000979,0
230,5453,2141,ACH-000376,0
231,2907,42890,ACH-000651,0
232,6252,6239,ACH-000273,0
233,249332,2141,ACH-000997,0
234,24776445,5935,ACH-000551,0
235,24197464,439693,ACH-001081,0
236,16736978,25023738,ACH-000750,0
237,11213558,24856436,ACH-000750,1
238,5284616,104842,ACH-000463,0
239,132971,6252,ACH-000425,0
240,3385,5426,ACH-000849,1
241,5935,6239,ACH-000849,0
