DepMap ID,cell line name
ACH-000007,LS513
ACH-000008,A101D
ACH-000017,SKBR3
ACH-000018,T24
ACH-000019,MCF7
ACH-000028,KPL1
ACH-000035,NCIH1650
ACH-000046,ACHN
ACH-000052,A673
ACH-000090,PC3
ACH-000097,ZR751
ACH-000111,HCC1187
ACH-000115,VCAP
ACH-000147,T47D
ACH-000148,HS578T
ACH-000164,PANC1
ACH-000169,RD
ACH-000212,CAL120
ACH-000219,A375
ACH-000223,HCC1937
ACH-000242,RT4
ACH-000258,DU4475
ACH-000264,CALU6
ACH-000267,HDLM2
ACH-000273,SF539
ACH-000276,HCC38
ACH-000277,HCC1419
ACH-000288,BT549
ACH-000291,OV90
ACH-000304,WM115
ACH-000311,NCIH2122
ACH-000322,HT144
ACH-000337,NCIH3122
ACH-000343,NCIH522
ACH-000348,RPMI7951
ACH-000349,HCC1500
ACH-000352,HCC1428
ACH-000367,NCIH226
ACH-000374,HCC1143
ACH-000376,SF295
ACH-000384,SW780
ACH-000392,CALU3
ACH-000395,NCIH520
ACH-000396,J82
ACH-000401,COLO800
ACH-000403,NCIH747
ACH-000416,NCIH838
ACH-000421,SW837
ACH-000424,TC71
ACH-000425,UACC62
ACH-000428,UO31
ACH-000433,CAKI1
ACH-000447,NCIH2228
ACH-000450,MELHO
ACH-000451,NCIH2085
ACH-000463,NCIH460
ACH-000473,RT112
ACH-000477,MALME3M
ACH-000480,HUH7
ACH-000481,NCIH2170
ACH-000486,KU1919
ACH-000499,EW8
ACH-000504,SNB75
ACH-000510,NCIH1299
ACH-000511,CALU1
ACH-000522,UMUC3
ACH-000530,DMS114
ACH-000536,BT20
ACH-000545,VMCUB1
ACH-000547,HT1197
ACH-000551,K562
ACH-000552,HT29
ACH-000555,A498
ACH-000568,UACC812
ACH-000571,T98G
ACH-000572,G361
ACH-000573,MDAMB436
ACH-000579,UACC257
ACH-000581,SNU16
ACH-000582,COLO741
ACH-000587,NCIH1975
ACH-000589,NCIH1437
ACH-000614,RVH421
ACH-000615,SKMEL28
ACH-000617,OVCAR4
ACH-000621,MDAMB157
ACH-000624,HCC1806
ACH-000644,COLO829
ACH-000651,SW620
ACH-000655,SF268
ACH-000657,A2780
ACH-000665,SKMES1
ACH-000668,HCC70
ACH-000669,SW900
ACH-000680,SW948
ACH-000681,A549
ACH-000696,OVCAR8
ACH-000699,HCC1395
ACH-000702,L1236
ACH-000706,EKVX
ACH-000713,CAOV3
ACH-000714,KMS11
ACH-000718,NCIH2291
ACH-000720,TCCSUP
ACH-000724,HT1376
ACH-000730,SKMEL5
ACH-000747,NCIH1703
ACH-000750,LOXIMVI
ACH-000753,JMSU1
ACH-000754,L428
ACH-000757,A427
ACH-000759,MDAMB175VII
ACH-000768,MDAMB231
ACH-000779,PC9
ACH-000783,CAMA1
ACH-000785,NCIH2126
ACH-000788,A2058
ACH-000793,KATOIII
ACH-000802,BFTC905
ACH-000810,SKMEL30
ACH-000811,SKOV3
ACH-000817,RPMI8226
ACH-000820,SW403
ACH-000825,HOP92
ACH-000837,NCIH322
ACH-000849,MDAMB468
ACH-000856,CAL51
ACH-000859,HCC1954
ACH-000860,NCIH358
ACH-000861,HOP62
ACH-000876,MDAMB415
ACH-000880,AGS
ACH-000884,MDAMB435S
ACH-000888,NCIH1793
ACH-000892,NCIH1563
ACH-000896,647V
ACH-000900,NCIH23
ACH-000902,CAL148
ACH-000906,ES2
ACH-000910,MDAMB453
ACH-000915,IPC298
ACH-000927,BT474
ACH-000930,HCC1569
ACH-000934,MDAMB361
ACH-000943,RKO
ACH-000950,LOVO
ACH-000956,22RV1
ACH-000958,SW48
ACH-000966,IGROV1
ACH-000968,COLO792
ACH-000969,KM12
ACH-000971,HCT116
ACH-000979,DU145
ACH-000987,MEWO
ACH-000997,HCT15
ACH-001002,451LU
ACH-001039,COLO205
ACH-001061,DLD1
ACH-001065,EVSAT
ACH-001081,HCC2998
ACH-001127,MOLT4
ACH-001151,OVCAR5
ACH-001190,SKMEL2
ACH-001196,SMSCTR
ACH-001198,SNB19
ACH-001205,TC32
ACH-001208,TK10
ACH-001374,PA1
ACH-001390,SUM149PT
ACH-001396,SUM52PE
ACH-001418,UWB1289
ACH-001458,C75
ACH-001685,UHO1
ACH-001738,CCRFCEM
ACH-001751,RH36
ACH-001819,MFM223
ACH-001825,SW527
ACH-002143,ISTMEL1
ACH-002152,LB2518MEL
ACH-002159,M14
ACH-002162,MMACSF
ACH-002172,NCIH322M
ACH-002179,OCUBM
ACH-002195,RXF393
ACH-002199,SN12C
