id,smiles
3052,CCN(CC)C(=O)N1CCN(CC1)C
71543365,C1CC(CCC1N)NC2CC2C3=CC=CC=C3
123608,C(CC(=O)O)C(=O)CN.Cl
53340426,C1=CC=C(C=C1)N(C2=CC=CC=C2Cl)C3=NC=C(C=N3)C(=O)NCCCCCCC(=O)NO
23635314,C1COCCN1CCOC2=CC=C(C=C2)C3=CN=C(C=C3)CC(=O)NCC4=CC=CC=C4
96312,COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N
57519554,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)CN5CCN(CC5)C(=O)C(C)C
5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
22833280,CC12C(C(=O)NC1(C(=O)O2)C(C3CCCC=C3)O)CCCl
24360,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
4915,CC(C)NC(=O)C1=CC=C(C=C1)CNNC
5935,CN(CCCl)CCCl.Cl
657237,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N
9854073,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
5493444,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
444795,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
11092,CC(=O)C1=C(C=C(C=C1)OC)O
25227436,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4
443390,COC1=C(C=C2C(=C1)CCN2C(=O)NC3=CC(=CC(=C3)C4=CN=CC=C4)F)C(F)(F)F
9703,CC(C)NC(=O)C1=CC=C(C=C1)CNNC.Cl
10368812,CC1=CC=C(C=C1)C(=O)N(CCCN)C(C2=NC3=C(C(=NS3)C)C(=O)N2CC4=CC=CC=C4)C(C)C
14052,CCC(CO)NCCNC(CC)CO
73265412,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
