,drug_1,drug_2,cell,label
0,3385,11960529,ACH-000713,0
1,3385,24856436,ACH-000713,1
2,3385,3062316,ACH-000713,1
3,3385,46926350,ACH-000713,0
4,3385,176870,ACH-000713,1
5,3385,216453,ACH-000713,0
6,3385,208908,ACH-000713,1
7,3385,24964624,ACH-000713,1
8,3385,11520894,ACH-000713,1
9,3385,46239015,ACH-000713,1
10,3385,9826528,ACH-000713,0
11,3385,5329102,ACH-000713,1
12,3385,5311,ACH-000713,1
13,11960529,46926350,ACH-000713,1
14,11960529,5288382,ACH-000713,1
15,11960529,46239015,ACH-000713,0
16,11960529,104842,ACH-000713,1
17,11960529,216239,ACH-000713,1
18,24856436,11977753,ACH-000713,1
19,24856436,387447,ACH-000713,0
20,24856436,3062316,ACH-000713,1
21,24856436,46926350,ACH-000713,0
22,24856436,176870,ACH-000713,1
23,24856436,5288382,ACH-000713,1
24,24856436,208908,ACH-000713,1
25,24856436,24958200,ACH-000713,1
26,24856436,24748204,ACH-000713,1
27,24856436,11520894,ACH-000713,1
28,24856436,46239015,ACH-000713,1
29,24856436,9826528,ACH-000713,1
30,24856436,104842,ACH-000713,1
31,24856436,216239,ACH-000713,1
32,11977753,46926350,ACH-000713,1
33,11977753,104842,ACH-000713,1
34,11977753,216239,ACH-000713,1
35,387447,11977753,ACH-000713,1
36,387447,3062316,ACH-000713,1
37,387447,5288382,ACH-000713,1
38,387447,11520894,ACH-000713,1
39,387447,46239015,ACH-000713,0
40,387447,104842,ACH-000713,1
41,2567,11960529,ACH-000713,0
42,2567,24856436,ACH-000713,1
43,2567,11977753,ACH-000713,1
44,2567,387447,ACH-000713,0
45,2567,3062316,ACH-000713,1
46,2567,46926350,ACH-000713,0
47,2567,5288382,ACH-000713,1
48,2567,216453,ACH-000713,0
49,2567,24964624,ACH-000713,1
50,2567,24958200,ACH-000713,1
51,2567,24748204,ACH-000713,0
52,2567,11520894,ACH-000713,1
53,2567,46239015,ACH-000713,1
54,2567,9826528,ACH-000713,0
55,2567,216239,ACH-000713,0
56,2567,5329102,ACH-000713,1
57,2567,5311,ACH-000713,1
58,2907,11960529,ACH-000713,1
59,2907,216453,ACH-000713,0
60,2907,46239015,ACH-000713,0
61,2907,5394,ACH-000713,1
62,3062316,11977753,ACH-000713,1
63,3062316,46926350,ACH-000713,1
64,3062316,5288382,ACH-000713,0
65,3062316,11520894,ACH-000713,1
66,3062316,104842,ACH-000713,1
67,3062316,216239,ACH-000713,1
68,5743,11960529,ACH-000713,0
69,5743,11977753,ACH-000713,1
70,5743,387447,ACH-000713,0
71,5743,3062316,ACH-000713,1
72,5743,46926350,ACH-000713,1
73,5743,176870,ACH-000713,1
74,5743,5288382,ACH-000713,0
75,5743,208908,ACH-000713,1
76,5743,24964624,ACH-000713,1
77,5743,24748204,ACH-000713,1
78,5743,11520894,ACH-000713,1
79,5743,46239015,ACH-000713,1
80,5743,9826528,ACH-000713,1
81,5743,216239,ACH-000713,1
82,5743,5394,ACH-000713,0
83,5743,5311,ACH-000713,1
84,46926350,46239015,ACH-000713,0
85,31703,24856436,ACH-000713,1
86,31703,387447,ACH-000713,0
87,31703,3062316,ACH-000713,1
88,31703,176870,ACH-000713,1
89,31703,5288382,ACH-000713,0
90,31703,216453,ACH-000713,0
91,31703,208908,ACH-000713,1
92,31703,24958200,ACH-000713,1
93,31703,11520894,ACH-000713,1
94,31703,9826528,ACH-000713,1
95,31703,216239,ACH-000713,0
96,31703,5311,ACH-000713,0
97,176870,11977753,ACH-000713,1
98,176870,387447,ACH-000713,0
99,176870,5288382,ACH-000713,1
100,176870,11520894,ACH-000713,1
101,176870,9826528,ACH-000713,1
102,176870,104842,ACH-000713,1
103,176870,216239,ACH-000713,1
104,36462,24856436,ACH-000713,1
105,36462,11977753,ACH-000713,1
106,36462,387447,ACH-000713,1
107,36462,3062316,ACH-000713,1
108,36462,46926350,ACH-000713,1
109,36462,176870,ACH-000713,1
110,36462,5288382,ACH-000713,1
111,36462,208908,ACH-000713,1
112,36462,24964624,ACH-000713,1
113,36462,24958200,ACH-000713,1
114,36462,24748204,ACH-000713,1
115,36462,11520894,ACH-000713,1
116,36462,46239015,ACH-000713,1
117,36462,9826528,ACH-000713,1
118,36462,216239,ACH-000713,1
119,36462,5329102,ACH-000713,1
120,36462,5311,ACH-000713,1
121,5288382,11977753,ACH-000713,1
122,5288382,46926350,ACH-000713,1
123,5288382,46239015,ACH-000713,1
124,5288382,104842,ACH-000713,1
125,5288382,216239,ACH-000713,1
126,216453,11960529,ACH-000713,1
127,216453,11977753,ACH-000713,1
128,216453,387447,ACH-000713,0
129,216453,46926350,ACH-000713,1
130,216453,176870,ACH-000713,1
131,216453,36462,ACH-000713,0
132,216453,5288382,ACH-000713,1
133,216453,208908,ACH-000713,1
134,216453,24964624,ACH-000713,1
135,216453,24958200,ACH-000713,0
136,216453,24748204,ACH-000713,1
137,216453,11520894,ACH-000713,1
138,216453,9826528,ACH-000713,1
139,216453,216239,ACH-000713,1
140,216453,5329102,ACH-000713,1
141,216453,5394,ACH-000713,0
142,216453,5311497,ACH-000713,0
143,208908,11977753,ACH-000713,1
144,208908,387447,ACH-000713,1
145,208908,3062316,ACH-000713,1
146,208908,46926350,ACH-000713,1
147,208908,5288382,ACH-000713,1
148,208908,24964624,ACH-000713,1
149,208908,24958200,ACH-000713,1
150,208908,24748204,ACH-000713,1
151,208908,11520894,ACH-000713,1
152,208908,46239015,ACH-000713,1
153,208908,9826528,ACH-000713,1
154,208908,104842,ACH-000713,1
155,208908,216239,ACH-000713,1
156,4091,11960529,ACH-000713,1
157,4091,24856436,ACH-000713,0
158,4091,3062316,ACH-000713,0
159,4091,46926350,ACH-000713,0
160,4091,176870,ACH-000713,0
161,4091,216453,ACH-000713,0
162,4091,208908,ACH-000713,0
163,4091,24964624,ACH-000713,0
164,4091,24958200,ACH-000713,0
165,4091,24748204,ACH-000713,0
166,4091,11520894,ACH-000713,0
167,4091,46239015,ACH-000713,0
168,4091,9826528,ACH-000713,0
169,4091,5329102,ACH-000713,0
170,4091,5311,ACH-000713,0
171,126941,11960529,ACH-000713,0
172,126941,11977753,ACH-000713,0
173,126941,3062316,ACH-000713,0
174,126941,46926350,ACH-000713,1
175,126941,176870,ACH-000713,0
176,126941,5288382,ACH-000713,0
177,126941,216453,ACH-000713,0
178,126941,208908,ACH-000713,0
179,126941,9826528,ACH-000713,0
180,126941,216239,ACH-000713,0
181,126941,5329102,ACH-000713,0
182,5746,24856436,ACH-000713,1
183,5746,11977753,ACH-000713,1
184,5746,387447,ACH-000713,1
185,5746,3062316,ACH-000713,1
186,5746,46926350,ACH-000713,1
187,5746,176870,ACH-000713,0
188,5746,5288382,ACH-000713,1
189,5746,216453,ACH-000713,0
190,5746,208908,ACH-000713,1
191,5746,24958200,ACH-000713,1
192,5746,24748204,ACH-000713,1
193,5746,11520894,ACH-000713,1
194,5746,46239015,ACH-000713,1
195,5746,9826528,ACH-000713,1
196,5746,216239,ACH-000713,0
197,5746,5329102,ACH-000713,1
198,5746,5311,ACH-000713,1
199,24964624,11960529,ACH-000713,1
200,24964624,387447,ACH-000713,1
201,24964624,46926350,ACH-000713,1
202,24964624,176870,ACH-000713,1
203,24964624,5288382,ACH-000713,1
204,24964624,11520894,ACH-000713,1
205,24964624,46239015,ACH-000713,1
206,24964624,9826528,ACH-000713,1
207,24964624,216239,ACH-000713,1
208,59691338,3385,ACH-000713,1
209,59691338,2907,ACH-000713,1
210,59691338,5743,ACH-000713,1
211,59691338,208908,ACH-000713,1
212,59691338,4091,ACH-000713,1
213,59691338,24964624,ACH-000713,1
214,59691338,46239015,ACH-000713,1
215,59691338,15953832,ACH-000713,1
216,59691338,216239,ACH-000713,1
217,59691338,5394,ACH-000713,1
218,24958200,11960529,ACH-000713,0
219,24958200,11977753,ACH-000713,0
220,24958200,46926350,ACH-000713,0
221,24958200,176870,ACH-000713,1
222,24958200,5288382,ACH-000713,0
223,24958200,24964624,ACH-000713,0
224,24958200,11520894,ACH-000713,0
225,24958200,46239015,ACH-000713,1
226,24958200,9826528,ACH-000713,1
227,24958200,104842,ACH-000713,1
228,24748204,11977753,ACH-000713,1
229,24748204,387447,ACH-000713,1
230,24748204,3062316,ACH-000713,1
231,24748204,5288382,ACH-000713,0
232,24748204,24964624,ACH-000713,1
233,24748204,24958200,ACH-000713,1
234,24748204,11520894,ACH-000713,1
235,24748204,46239015,ACH-000713,1
236,24748204,9826528,ACH-000713,1
237,11520894,11977753,ACH-000713,1
238,11520894,46926350,ACH-000713,1
239,11520894,5288382,ACH-000713,1
240,11520894,46239015,ACH-000713,1
241,11520894,104842,ACH-000713,1
242,11520894,216239,ACH-000713,1
243,15953832,3385,ACH-000713,1
244,15953832,11960529,ACH-000713,1
245,15953832,24856436,ACH-000713,1
246,15953832,11977753,ACH-000713,1
247,15953832,387447,ACH-000713,1
248,15953832,2567,ACH-000713,0
249,15953832,3062316,ACH-000713,1
250,15953832,5743,ACH-000713,1
251,15953832,46926350,ACH-000713,1
252,15953832,31703,ACH-000713,1
253,15953832,176870,ACH-000713,1
254,15953832,36462,ACH-000713,1
255,15953832,5288382,ACH-000713,1
256,15953832,216453,ACH-000713,1
257,15953832,208908,ACH-000713,1
258,15953832,4091,ACH-000713,0
259,15953832,126941,ACH-000713,1
260,15953832,5746,ACH-000713,1
261,15953832,24964624,ACH-000713,1
262,15953832,24958200,ACH-000713,1
263,15953832,24748204,ACH-000713,1
264,15953832,11520894,ACH-000713,1
265,15953832,46239015,ACH-000713,1
266,15953832,36314,ACH-000713,1
267,15953832,9826528,ACH-000713,1
268,15953832,104842,ACH-000713,1
269,15953832,216239,ACH-000713,1
270,15953832,5329102,ACH-000713,1
271,15953832,13342,ACH-000713,1
272,15953832,5311,ACH-000713,1
273,36314,24856436,ACH-000713,1
274,36314,11977753,ACH-000713,0
275,36314,387447,ACH-000713,1
276,36314,176870,ACH-000713,1
277,36314,5288382,ACH-000713,0
278,36314,208908,ACH-000713,1
279,36314,24964624,ACH-000713,1
280,36314,24748204,ACH-000713,1
281,36314,11520894,ACH-000713,0
282,36314,9826528,ACH-000713,1
283,36314,216239,ACH-000713,1
