,drug_1,drug_2,cell,label
0,208908,24748204,ACH-000097,0
1,2733525,32874,ACH-000090,0
2,5453,387447,ACH-001151,0
3,216239,46239015,ACH-000322,1
4,216326,2187,ACH-001151,0
5,216326,6252,ACH-000147,0
6,5453,3657,ACH-000966,0
7,5453,208908,ACH-000433,0
8,216239,2141,ACH-000579,1
9,2733525,148121,ACH-000861,0
10,2708,54600319,ACH-000617,0
11,59691338,31703,ACH-000657,1
12,2708,163659,ACH-000551,1
13,3081361,216239,ACH-001738,0
14,439525,68740,ACH-000651,0
15,2723601,3367,ACH-000343,0
16,54608520,57469,ACH-000551,0
17,5035,6194,ACH-000849,1
18,5394,2141,ACH-000615,0
19,59691338,126941,ACH-000348,0
20,24776445,216239,ACH-001081,0
21,5743,216453,ACH-001418,1
22,24958200,24964624,ACH-000421,1
23,2723601,5329102,ACH-000551,0
24,439525,57469,ACH-000655,0
25,5291,54608520,ACH-000463,0
26,216326,5291,ACH-000706,0
27,5743,5394,ACH-000552,1
28,104741,2478,ACH-000552,0
29,5799,3085106,ACH-000463,1
30,5453,3062316,ACH-000825,1
31,387447,5288382,ACH-000906,1
32,71384,2723601,ACH-000997,0
33,5035,5360373,ACH-000997,0
34,5035,3950,ACH-001127,1
35,23615975,57469,ACH-000288,0
36,5329102,208908,ACH-000463,1
37,59691338,3062316,ACH-000757,1
38,3085106,3902,ACH-000969,0
39,5394,11520894,ACH-001374,1
40,208908,3657,ACH-000730,1
41,439525,248862,ACH-000504,0
42,444795,241902,ACH-000969,1
43,3062316,40926,ACH-000019,0
44,5291,148121,ACH-001039,1
45,237,2907,ACH-001081,0
46,9854073,2567,ACH-000706,0
47,439525,126941,ACH-000148,0
48,3950,2733525,ACH-000651,0
49,71384,2733525,ACH-000147,0
50,4212,104741,ACH-000425,0
51,5388992,216239,ACH-000615,0
52,68740,148121,ACH-000288,1
53,216326,5453,ACH-000504,0
54,439525,148121,ACH-000148,0
55,3657,248862,ACH-000148,0
56,5388992,241902,ACH-000288,0
57,3081361,9854073,ACH-000477,1
58,444795,40926,ACH-001039,0
59,68740,2478,ACH-000433,0
60,2723601,68740,ACH-000477,0
61,5352062,126941,ACH-002172,0
62,3081361,104741,ACH-002159,1
63,5329102,24748204,ACH-000219,1
64,2567,32874,ACH-000428,0
65,2662,68740,ACH-000463,0
66,5035,68740,ACH-000615,1
67,5746,216239,ACH-000395,0
68,216239,237,ACH-000148,0
69,123631,2187,ACH-000552,1
