DepMap ID,cell line name
ACH-000019,MCF7
ACH-000028,KPL1
ACH-000035,NCIH1650
ACH-000046,ACHN
ACH-000052,A673
ACH-000090,PC3
ACH-000097,ZR751
ACH-000115,VCAP
ACH-000147,T47D
ACH-000148,HS578T
ACH-000169,RD
ACH-000219,A375
ACH-000267,HDLM2
ACH-000273,SF539
ACH-000288,BT549
ACH-000291,OV90
ACH-000311,NCIH2122
ACH-000322,HT144
ACH-000343,NCIH522
ACH-000348,RPMI7951
ACH-000367,NCIH226
ACH-000376,SF295
ACH-000395,NCIH520
ACH-000421,SW837
ACH-000424,TC71
ACH-000425,UACC62
ACH-000428,UO31
ACH-000433,CAKI1
ACH-000463,NCIH460
ACH-000477,MALME3M
ACH-000480,HUH7
ACH-000499,EW8
ACH-000504,SNB75
ACH-000551,K562
ACH-000552,HT29
ACH-000555,A498
ACH-000571,T98G
ACH-000573,MDAMB436
ACH-000579,UACC257
ACH-000615,SKMEL28
ACH-000617,OVCAR4
ACH-000651,SW620
ACH-000655,SF268
ACH-000657,A2780
ACH-000665,SKMES1
ACH-000681,A549
ACH-000696,OVCAR8
ACH-000702,L1236
ACH-000706,EKVX
ACH-000713,CAOV3
ACH-000730,SKMEL5
ACH-000750,LOXIMVI
ACH-000754,L428
ACH-000757,A427
ACH-000768,MDAMB231
ACH-000788,A2058
ACH-000810,SKMEL30
ACH-000811,SKOV3
ACH-000817,RPMI8226
ACH-000825,HOP92
ACH-000849,MDAMB468
ACH-000861,HOP62
ACH-000884,MDAMB435S
ACH-000900,NCIH23
ACH-000906,ES2
ACH-000943,RKO
ACH-000950,LOVO
ACH-000966,IGROV1
ACH-000969,KM12
ACH-000971,HCT116
ACH-000979,DU145
ACH-000997,HCT15
ACH-001039,COLO205
ACH-001061,DLD1
ACH-001081,HCC2998
ACH-001127,MOLT4
ACH-001151,OVCAR5
ACH-001190,SKMEL2
ACH-001196,SMSCTR
ACH-001198,SNB19
ACH-001205,TC32
ACH-001208,TK10
ACH-001374,PA1
ACH-001418,UWB1289
ACH-001685,UHO1
ACH-001738,CCRFCEM
ACH-001751,RH36
ACH-002159,M14
ACH-002162,MMACSF
ACH-002172,NCIH322M
ACH-002179,OCUBM
ACH-002195,RXF393
ACH-002199,SN12C
