,drug_1,drug_2,cell,label
0,2907,11520894,ACH-000219,1
1,2907,11520894,ACH-001061,1
2,2907,11520894,ACH-000906,0
3,2907,11520894,ACH-000971,1
4,2907,11520894,ACH-000950,0
5,2907,11520894,ACH-000573,0
6,2907,11520894,ACH-000311,1
7,2907,11520894,ACH-000291,0
8,2907,11520894,ACH-000943,1
9,2907,11520894,ACH-000348,1
10,2907,11520894,ACH-000810,1
11,2907,11520894,ACH-000665,1
12,2907,11520894,ACH-000421,0
13,2907,11520894,ACH-001418,0
14,2907,11520894,ACH-000097,0
15,248862,5352062,ACH-000617,0
16,248862,5352062,ACH-000428,0
17,248862,5352062,ACH-002195,0
18,248862,5352062,ACH-000147,0
19,248862,5352062,ACH-000706,0
20,248862,5352062,ACH-000425,0
21,248862,5352062,ACH-001208,0
22,248862,5352062,ACH-002159,0
23,248862,5352062,ACH-002172,0
24,2708,2141,ACH-000969,0
25,2708,2141,ACH-000288,0
26,2708,2141,ACH-000463,0
27,2708,2141,ACH-000376,0
28,2708,2141,ACH-000849,0
29,2708,2141,ACH-000551,0
30,2708,2141,ACH-001151,0
31,2708,2141,ACH-000681,0
32,2708,2141,ACH-000971,1
33,2708,2141,ACH-000617,0
34,2708,2141,ACH-000979,0
35,2708,2141,ACH-000428,0
36,2708,2141,ACH-000273,0
37,2708,2141,ACH-001208,0
38,2708,2141,ACH-000730,0
39,2708,2141,ACH-000504,0
40,2708,2141,ACH-000046,0
41,2708,2141,ACH-001039,0
42,2708,2141,ACH-000579,0
43,2708,2141,ACH-000696,0
44,2708,2141,ACH-000750,0
45,2708,2141,ACH-002195,0
46,2708,2141,ACH-000997,0
47,2708,2141,ACH-000090,0
48,2708,2141,ACH-000900,0
49,2708,2141,ACH-001738,0
50,2708,2141,ACH-000861,0
51,2708,2141,ACH-000148,0
52,2708,2141,ACH-000655,0
53,2708,2141,ACH-000817,1
54,2123,4114,ACH-000504,1
55,2123,4114,ACH-000433,1
56,2123,4114,ACH-001738,1
57,2123,4114,ACH-000971,0
58,2123,4114,ACH-000825,1
59,2123,4114,ACH-000966,1
60,2123,4114,ACH-000969,1
61,2123,4114,ACH-002172,1
62,2123,4114,ACH-000367,1
63,2123,4114,ACH-000376,0
64,2187,354624,ACH-000900,0
65,2187,354624,ACH-000428,0
66,2187,354624,ACH-000090,0
67,2187,354624,ACH-000425,0
68,2187,354624,ACH-000849,0
69,2187,354624,ACH-000148,0
70,2187,354624,ACH-000651,0
71,2187,354624,ACH-000046,0
72,2187,354624,ACH-002172,0
73,2187,354624,ACH-000552,1
74,2187,354624,ACH-000463,0
75,2187,354624,ACH-000551,0
76,2187,354624,ACH-000811,0
77,2187,354624,ACH-000971,0
78,2187,354624,ACH-001151,1
79,3950,36314,ACH-000979,0
80,3950,36314,ACH-000706,0
81,3950,36314,ACH-001738,0
82,3950,36314,ACH-001039,0
83,3950,36314,ACH-000681,0
84,3950,36314,ACH-000555,0
85,3950,36314,ACH-000552,0
86,3950,36314,ACH-000966,0
87,3950,36314,ACH-000971,0
88,3950,36314,ACH-001081,0
89,3950,36314,ACH-000997,0
90,3950,36314,ACH-001127,0
91,3950,36314,ACH-000750,0
92,3950,36314,ACH-000376,0
93,3950,36314,ACH-000696,0
94,3950,36314,ACH-000463,0
95,3950,36314,ACH-000367,0
96,3950,36314,ACH-002172,0
97,3950,36314,ACH-000579,0
98,3950,36314,ACH-001198,0
99,3950,36314,ACH-000504,0
100,3950,36314,ACH-000273,0
101,3950,36314,ACH-000811,0
102,3950,36314,ACH-000425,0
103,3950,36314,ACH-000288,0
104,3950,36314,ACH-000849,0
105,3950,36314,ACH-000428,0
106,3950,36314,ACH-002199,0
107,3950,36314,ACH-000090,0
108,3950,36314,ACH-000148,0
109,3950,36314,ACH-000768,0
110,248862,36314,ACH-000463,0
111,248862,36314,ACH-000425,0
112,248862,36314,ACH-000477,0
113,248862,36314,ACH-000579,0
114,248862,36314,ACH-000148,0
115,248862,36314,ACH-000615,0
116,248862,36314,ACH-002195,0
117,248862,36314,ACH-000504,0
118,248862,36314,ACH-000768,0
119,248862,36314,ACH-000552,0
120,248862,36314,ACH-000966,0
121,248862,36314,ACH-000900,0
122,248862,36314,ACH-000019,0
123,248862,36314,ACH-000433,0
124,248862,36314,ACH-000555,0
125,248862,36314,ACH-000288,0
126,248862,36314,ACH-001039,0
127,248862,36314,ACH-000730,0
128,248862,36314,ACH-000817,0
129,248862,36314,ACH-000147,0
130,248862,36314,ACH-001081,0
131,248862,36314,ACH-000971,0
132,10096043,148121,ACH-000424,0
133,57469,2141,ACH-000433,0
134,57469,2141,ACH-000979,1
135,57469,2141,ACH-001039,0
136,57469,2141,ACH-000617,0
137,57469,2141,ACH-000768,0
138,57469,2141,ACH-002199,0
139,57469,2141,ACH-000367,0
140,57469,2141,ACH-000147,0
141,57469,2141,ACH-000148,1
142,57469,2141,ACH-000288,0
143,57469,2141,ACH-000681,0
144,57469,2141,ACH-000428,0
145,57469,2141,ACH-001208,1
146,57469,2141,ACH-000750,0
147,57469,2141,ACH-000343,0
148,57469,2141,ACH-001081,0
149,57469,2141,ACH-001738,0
150,57469,2141,ACH-000555,0
151,57469,2141,ACH-000971,0
152,57469,2141,ACH-001151,0
153,57469,2141,ACH-000579,0
154,57469,2141,ACH-001190,0
155,57469,2141,ACH-000997,0
156,57469,2141,ACH-001127,0
157,57469,2141,ACH-000696,0
158,57469,2141,ACH-000090,1
159,57469,2141,ACH-000615,0
160,57469,2141,ACH-000817,0
161,57469,2141,ACH-000046,0
162,11556711,5352062,ACH-000424,1
163,36314,46239015,ACH-000788,0
164,36314,46239015,ACH-000657,1
165,36314,46239015,ACH-000219,1
166,36314,46239015,ACH-000906,1
167,36314,46239015,ACH-000971,0
168,36314,46239015,ACH-000028,0
169,36314,46239015,ACH-000573,0
170,36314,46239015,ACH-000311,0
171,36314,46239015,ACH-000900,0
172,36314,46239015,ACH-000463,0
173,36314,46239015,ACH-000395,0
174,36314,46239015,ACH-002179,0
